№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
,amursk_0_dauricum_11_06_1970,ХГПИ,Rh_dauricum,Хабаровский край,Амурский район,станция Литовко,марь,,,обочины/окресности нас.пунктов,11.06.1970,Коваленко В.,"49,233722","135,163083"
226320,Anisimovka_0_mucronulatum_29_08_1967,БПИ,Rh_mucronulatum,Приморский край,Шкотовский район,г. Хуалаза,,,темнохвойный лес,каменистый склон,29.08.1967,Г.Э. Куренцова,"42,994722","132,483278"
226348,anuch_0_mucronulatum_02_08_1971,БПИ,Rh_mucronulatum,Приморский край,Анучинский район,перевал от п. Веселого к п. Молчановку Анучинск р-н в Партиз-к,камен склон,,дубняк,каменистый склон,02.08.1971,В.Зорикова,"43,599994","133,021418"
11724,anuch_0_mucronulatum_13_06_1979,БСИ,Rh_mucronulatum,Приморский край,Анучинский район,между сёлами Староварваровкой и Виноградовкой,скалы у дороги поросшие сосной,светлохвойный лес,светлохвойный лес,склон горы,13.06.1979,Недолужко В.А.,"43,8585","132,914361"
226349,anuch_1_mucronulatum_02_08_1971,БПИ,Rh_mucronulatum,приморский край,анучинский район,перевал от п. Веселого к п. Молчановку Анучинск р-н в Партиз-к,камен склон,,дубняк,каменистый склон,02.08.1971,В.Зорикова,"43,599994","133,021418"
11762,anuch_1_mucronulatum_19_09_1973,БСИ,Rh_mucronulatum,Приморский край,Анучинский район,посёлок Староварваровка,,,дубняк,обочины/окресности нас.пунктов,13.06.1979,Урусов В.М.,"43,891111","132,930028"
11732,anuch_2_mucronulatum_02_08_1971,БПИ,Rh_mucronulatum,приморский край,анучинский район,перевал от п. Веселого к п. Молчановку Анучинск р-н в Партиз-к,камен склон,,дубняк,каменистый склон,02.08.1971,В.Зорикова,"43,599994","133,021418"
11735,anuch_3_mucronulatum_19_09_1973,БСИ,Rh_mucronulatum,Приморский край,Анучинский район,посёлок Староварваровка,дубраво-сосновый лес,смешанный лес,дубняк,обочины/окресности нас.пунктов,19.09.73,Урусов В.М.,"43,891111","132,930028"
226177,arhar_0_dauricum_00_00_0000,БПИ,Rh_dauricum,Амурская область,архаринский район,"с. Грибовка ""Гараскина пашня"" ",сопка,,,сопка,04.05.1982,"В.Ф. Гончарова, Г. Яшинкова","49,470139","130,373028"
,arhar_0_dauricum_25_06_1959,БПИ,Rh_dauricum,Амурская область,архаринский район,около Новосергеевки,сопка,,,сопка,26.06.1959,Моисеева Т.,"49,228594","130,301981"
226376,arhar_1_dauricum_29_08_1982,БПИ,Rh_dauricum,Амурская область,архаринский район, Архарин з-н Хинганский з-к с. Кундур дорога на урочище Каранча,Дорога,,,обочины/окресности нас.пунктов,26.08.1982,Яшенкова,"49,104722","130,750556"
,arharin_0_dauricum_29_08_1982,БПИ,Rh_dauricum,Амурская область,архаринский район, Архарин з-н Хинганский з-к с. Кундур дорога на урочище Каранча,Дорога,,,обочины/окресности нас.пунктов,26.08.1982,Яшенкова,"49,104722","130,750556"
11729,askold_0_mucronulatum_00_08_1995,БСИ,Rh_mucronulatum,приморский край,остров Аскольд ,остров Аскольд ,,,широколиственный лес,скалистый берег моря,01.08.1995,"Павлова, Недолужко","42,779655","132,346774"
226152,AyanoMay_10_dauricum_29_06_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,окр баз п. Ковальчан (120 км выше Нелькано по течен) прав берег р. Мая,берег реки,,,берег реки,02.07.1978,"Харкевич, Якубов","57,677806","136,175667"
226153,AyanoMay_11_dauricum_02_07_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,окр баз п. Ковальчан (120 км выше Нелькано по течен) прав берег р. Мая,берег реки,,,берег реки,02.07.1978,"Харкевич, Якубов","57,675139","136,173444"
226142,AyanoMay_3_dauricum_30_07_1989,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,"водоразд верхов р. Верхняя Бурея, Нижняя Бурея, Офала приток р. Омня верх течения Нижней Буреи",в листвен-сосновом лесу на склон гор массив,смешанный лес,лиственичник,склон горы,30.07.1989,"В.Ю.Баркалов, Т.А. Т. Безделева","57,862833","134,498"
226143,AyanoMay_4_dauricum_30_07_1989,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,"водоразд верхов р. Верхняя Бурея, Нижняя Бурея, Офала приток р. Омня верх течения Нижней Буреи",в листвен-сосновом лесу на склон гор массив,смешанный лес,лиственичник,склон горы,30.07.1989,"В.Ю.Баркалов, Т.А. Т. Безделева","57,906222","134,544889"
226144,AyanoMay_5_dauricum_04_06_1968,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,п. Нелькан,вост и зап склон 491м сосняки и листвен-ки,смешанный лес,лиственичник,склон горы,04.06.1968,"Ю.И. Манько, В.П Ворошилов","57,65425","136,155111"
226146,AyanoMay_6_dauricum_29_06_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,р-н выше с. Нелькан хр. Веселый урочище Мутное (Лысое) ,сланцевидн осыпь,,,каменистый склон,29.06.1978,"Харкевич, Яшенкова","57,66625","136,152694"
226147,AyanoMay_7_dauricum_29_06_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,р-н выше с. Нелькан хр. Веселый урочище Мутное (Лысое) ,сланцевидн осыпь,,,каменистый склон,29.06.1978,"Харкевич, Яшенкова","57,666083","136,153111"
226148,AyanoMay_8_dauricum_12_07_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,с. Нелькан,скалистый берег реки,,,скалистый берег реки,12.07.1978,"Буч, В. Якубов","57,655583","136,163194"
226149,AyanoMay_9_dauricum_08_08_1978,БПИ,Rh_dauricum,Хабаровский  край,Аяно-Майский район,с. Нелькан,скалистый берег реки,,,скалистый берег реки,19.06.1978," Харкевич, Буч","57,658889","136,163056"
